Province,District,Year,Household_Size,Area_Classification,Population,PHC_Headcount,PHC_Facilities_Total,Med_Pracs_per100k,PHC_Expend_per_capita,StatsSA_Households_Cellphone,StatsSA_Households_LandCell (%),StatsSA_Households_MobileInt (%),StatsSA_Households_PubWIFI (%),StatsSA_Households_WorkInt (%),StatsSA_Households_AnyIntAccess (%),Distance_PHC (km)
NW,Bojanala Platinum DM: DC37,2022,3.8,Rural,3945834,4501111,121,36.9248,1370.132,91.6,4.2,65.7,6.2,6.2,67.8,2.3
NW,Bojanala Platinum DM: DC37,2023,3.8,Rural,4031530,4747587,121,39.7328,1308.706,93.4,2,70.5,4.7,8.1,72.3,2.3
NW,Bojanala Platinum DM: DC37,2024,3.8,Rural,2058230,2820429,121,40.0715,1203.347,92.3,3.7,73.2,5.4,7.1,75,2.3
NW,Dr K Kaunda DM: DC40,2022,3.6,Rural,1623496,1883426,42,36.9248,1370.132,91.6,4.2,65.7,6.2,6.2,67.8,0.91
NW,Dr K Kaunda DM: DC40,2023,3.6,Rural,1646965,1985458,43,39.7328,1308.706,93.4,2,70.5,4.7,8.1,72.3,0.91
NW,Dr K Kaunda DM: DC40,2024,3.6,Rural,834931,1337707,43,40.0715,1203.347,92.3,3.7,73.2,5.4,7.1,75,0.91
NW,NM Molema DM: DC38,2022,3.9,Rural,1821681,2449080,88,36.9248,1370.132,91.6,4.2,65.7,6.2,6.2,67.8,0.24
NW,NM Molema DM: DC38,2023,3.9,Rural,1832788,2547720,87,39.7328,1308.706,93.4,2,70.5,4.7,8.1,72.3,0.24
NW,NM Molema DM: DC38,2024,3.9,Rural,922575,1771800,90,40.0715,1203.347,92.3,3.7,73.2,5.4,7.1,75,0.24
NW,RS Mompati DM: DC39,2022,4,Rural,947177,1400048,61,36.9248,1370.132,91.6,4.2,65.7,6.2,6.2,67.8,4.52
NW,RS Mompati DM: DC39,2023,4,Rural,951274,1472345,63,39.7328,1308.706,93.4,2,70.5,4.7,8.1,72.3,4.52
NW,RS Mompati DM: DC39,2024,4,Rural,477280,1187842,63,40.0715,1203.347,92.3,3.7,73.2,5.4,7.1,75,4.52
WC,Cape Town MM: CPT,2022,3.2,Urban,9373049,10291456,127,32.6317,1795.7458,80.4,14.7,68.5,13.1,19.8,84.6,0.91
WC,Cape Town MM: CPT,2023,3.2,Urban,9553007,10381389,118,35.2175,1693.2257,88,6.9,70.8,14.9,22.3,88.1,0.91
